Ano,RA,Nome,Fase,Fase_Num,Fase_Ideal,Turma,Idade,Gênero,Ano ingresso,Instituicao_Ensino,Pedra_Atual,INDE,IAA,IEG,IPS,IPP,IDA,Matematica,Portugues,Ingles,IPV,IAN,Defasagem,Pendente_Inclusao
2024,RA-1263,Aluno-1263,8D,8.0,Fase 8 (Universitários),8D,21,Feminino,2021,Privada *Parcerias com Bolsa 100%,,,,0.0,,,,,,,,10.0,0,False
2024,RA-1262,Aluno-1262,8D,8.0,Fase 8 (Universitários),8D,20,Feminino,2021,Privada,,,,0.0,,,,,,,,10.0,0,False
2024,RA-1261,Aluno-1261,8D,8.0,Fase 8 (Universitários),8D,20,Feminino,2021,Privada,,,,0.0,,,,,,,,10.0,0,False
2024,RA-1259,Aluno-1259,8D,8.0,Fase 8 (Universitários),8D,20,Feminino,2021,Privada,,,,0.0,,,,,,,,10.0,0,False
2024,RA-1257,Aluno-1257,8D,8.0,Fase 8 (Universitários),8D,19,Masculino,2021,Privada,,,,0.0,,,,,,,,10.0,0,False
2024,RA-1256,Aluno-1256,8D,8.0,Fase 8 (Universitários),8D,19,Feminino,2021,Privada,,,,0.0,,,,,,,,10.0,0,False
2024,RA-1265,Aluno-1265,8D,8.0,Fase 8 (Universitários),8D,21,Masculino,2022,Pública,,,,0.0,,,,,,,,10.0,0,False
2024,RA-1255,Aluno-1255,8D,8.0,Fase 8 (Universitários),8D,20,Masculino,2021,Privada,,,,0.0,,,,,,,,10.0,0,False
2024,RA-13,Aluno-13,8D,8.0,Fase 8 (Universitários),8D,19,Masculino,2021,Privada *Parcerias com Bolsa 100%,,,,0.0,,,,,,,,10.0,0,False
2024,RA-1253,Aluno-1253,8D,8.0,Fase 8 (Universitários),8D,24,Feminino,2021,Privada,,,,0.0,,,,,,,,10.0,0,False
2024,RA-1635,Aluno-1635,8D,8.0,Fase 8 (Universitários),8D,20,Feminino,2021,Privada,,,,0.0,,,,,,,,10.0,0,False
2024,RA-1273,Aluno-1273,8E,8.0,Fase 8 (Universitários),8E,18,Feminino,2023,Privada *Parcerias com Bolsa 100%,,,,0.0,,,,,,,,10.0,0,False
2024,RA-14,Aluno-14,8E,8.0,Fase 8 (Universitários),8E,22,Masculino,2022,Privada *Parcerias com Bolsa 100%,,,,0.0,,,,,,,,10.0,0,False
2024,RA-1271,Aluno-1271,8E,8.0,Fase 8 (Universitários),8E,19,Feminino,2021,Privada *Parcerias com Bolsa 100%,,,,0.0,,,,,,,,10.0,0,False
2024,RA-1,Aluno-1,8E,8.0,Fase 8 (Universitários),8E,21,Feminino,2021,Privada *Parcerias com Bolsa 100%,,,,0.0,,,,,,,,10.0,0,False
2024,RA-1270,Aluno-1270,8E,8.0,Fase 8 (Universitários),8E,20,Feminino,2021,Privada - Pagamento por *Empresa Parceira,,,,0.0,,,,,,,,10.0,0,False
2024,RA-1274,Aluno-1274,8E,8.0,Fase 8 (Universitários),8E,19,Feminino,2021,Privada - Pagamento por *Empresa Parceira,,,,0.0,,,,,,,,10.0,0,False
2024,RA-23,Aluno-23,8E,8.0,Fase 8 (Universitários),8E,19,Masculino,2021,Privada *Parcerias com Bolsa 100%,,,,0.0,,,,,,,,10.0,0,False
2024,RA-2,Aluno-2,8E,8.0,Fase 8 (Universitários),8E,19,Feminino,2021,Privada *Parcerias com Bolsa 100%,,,,0.0,,,,,,,,10.0,0,False
2024,RA-25,Aluno-25,8E,8.0,Fase 8 (Universitários),8E,19,Feminino,2021,Privada *Parcerias com Bolsa 100%,,,,0.0,,,,,,,,10.0,0,False
2024,RA-1272,Aluno-1272,8E,8.0,Fase 8 (Universitários),8E,20,Feminino,2021,Privada *Parcerias com Bolsa 100%,,,,0.0,,,,,,,,10.0,0,False
2024,RA-6,Aluno-6,8E,8.0,Fase 8 (Universitários),8E,20,Feminino,2021,Privada *Parcerias com Bolsa 100%,,,,0.0,,,,,,,,10.0,0,False
2024,RA-29,Aluno-29,8E,8.0,Fase 8 (Universitários),8E,19,Masculino,2022,Privada - Pagamento por *Empresa Parceira,,,,0.0,,,,,,,,10.0,0,False
2024,RA-17,Aluno-17,8E,8.0,Fase 8 (Universitários),8E,22,Masculino,2022,Privada - Pagamento por *Empresa Parceira,,,,0.0,,,,,,,,10.0,0,False
2024,RA-7,Aluno-7,8E,8.0,Fase 8 (Universitários),8E,20,Masculino,2021,Privada *Parcerias com Bolsa 100%,,,,0.0,,,,,,,,10.0,0,False
2024,RA-31,Aluno-31,8E,8.0,Fase 8 (Universitários),8E,19,Feminino,2021,Privada *Parcerias com Bolsa 100%,,,,0.0,,,,,,,,10.0,0,False
2024,RA-1269,Aluno-1269,8E,8.0,Fase 8 (Universitários),8E,19,Feminino,2021,Privada - Pagamento por *Empresa Parceira,,,,0.0,,,,,,,,10.0,0,False
2024,RA-12,Aluno-12,8E,8.0,Fase 8 (Universitários),8E,19,Feminino,2021,Privada *Parcerias com Bolsa 100%,,,,0.0,,,,,,,,10.0,0,False
2024,RA-35,Aluno-35,8E,8.0,Fase 8 (Universitários),8E,19,Feminino,2021,Privada *Parcerias com Bolsa 100%,,,,0.0,,,,,,,,10.0,0,False
2024,RA-1636,Aluno-1636,8E,8.0,Fase 8 (Universitários),8E,20,Feminino,2021,Privada,,,,0.0,,,,,,,,10.0,0,False
2024,RA-88,Aluno-88,8E,8.0,Fase 8 (Universitários),8E,19,Masculino,2021,Privada *Parcerias com Bolsa 100%,,,,0.0,,,,,,,,10.0,0,False
2024,RA-36,Aluno-36,8E,8.0,Fase 8 (Universitários),8E,19,Feminino,2021,Privada *Parcerias com Bolsa 100%,,,,0.0,,,,,,,,10.0,0,False
2024,RA-21,Aluno-21,8E,8.0,Fase 8 (Universitários),8E,20,Masculino,2022,Privada - Pagamento por *Empresa Parceira,,,,0.0,,,,,,,,10.0,0,False
2024,RA-49,Aluno-49,8E,8.0,Fase 8 (Universitários),8E,19,Feminino,2022,Privada - Pagamento por *Empresa Parceira,,,,0.0,,,,,,,,10.0,0,False
2024,RA-1225,Aluno-1225,8F,8.0,Fase 8 (Universitários),8F,19,Feminino,2021,Privada *Parcerias com Bolsa 100%,,,,0.0,,,,,,,,10.0,0,False
2024,RA-1221,Aluno-1221,8F,8.0,Fase 8 (Universitários),8F,23,Feminino,2023,Concluiu o 3º EM,,,,0.0,,,8.0,7.0,7.0,10.0,,10.0,0,False
2024,RA-26,Aluno-26,8F,8.0,Fase 8 (Universitários),8F,19,Masculino,2022,Privada *Parcerias com Bolsa 100%,,,,0.0,,,,,,,,10.0,0,False
2024,RA-27,Aluno-27,8F,8.0,Fase 8 (Universitários),8F,18,Masculino,2021,Privada *Parcerias com Bolsa 100%,,,,0.0,,,,,,,,10.0,0,False
2024,RA-155,Aluno-155,8F,8.0,Fase 8 (Universitários),8F,18,Masculino,2022,Privada *Parcerias com Bolsa 100%,,,,0.0,,,,,,,,10.0,0,False
2024,RA-96,Aluno-96,8F,8.0,Fase 8 (Universitários),8F,18,Masculino,2021,Concluiu o 3º EM,,,,0.0,,,,,,,,10.0,0,False
2024,RA-59,Aluno-59,8F,8.0,Fase 8 (Universitários),8F,19,Masculino,2022,Privada *Parcerias com Bolsa 100%,,,,0.0,,,,,,,,10.0,0,False
2024,RA-1216,Aluno-1216,8F,8.0,Fase 8 (Universitários),8F,20,Feminino,2023,Privada *Parcerias com Bolsa 100%,,,,0.0,,,,,,,,10.0,0,False
2024,RA-19,Aluno-19,8F,8.0,Fase 8 (Universitários),8F,20,Feminino,2022,Privada *Parcerias com Bolsa 100%,,,,0.0,,,,,,,,10.0,0,False
2024,RA-62,Aluno-62,8F,8.0,Fase 8 (Universitários),8F,18,Feminino,2022,Privada *Parcerias com Bolsa 100%,,,,0.0,,,,,,,,10.0,0,False
2024,RA-173,Aluno-173,8F,8.0,Fase 8 (Universitários),8F,18,Masculino,2021,Privada *Parcerias com Bolsa 100%,,,,0.0,,,,,,,,10.0,0,False
2024,RA-38,Aluno-38,8F,8.0,Fase 8 (Universitários),8F,18,Feminino,2021,Privada - Programa de Apadrinhamento,,,,0.0,,,,,,,,10.0,0,False
2024,RA-1224,Aluno-1224,8F,8.0,Fase 8 (Universitários),8F,21,Masculino,2023,Concluiu o 3º EM,,,,0.0,,,,,,,,10.0,0,False
2024,RA-39,Aluno-39,8F,8.0,Fase 8 (Universitários),8F,18,Feminino,2021,Privada *Parcerias com Bolsa 100%,,,,0.0,,,,,,,,10.0,0,False
